Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([56]), u'n_hidden_layers': array([7]), u'learning_rate': array([ 1.]), u'beta': array([ 0.1])}
('Epoch:', '0452', 'training cost=', '0.656613990')
('Epoch:', '0452', 'test cost=', '0.640874803')
('Epoch:', '0453', 'training cost=', '0.655683285')
('Epoch:', '0453', 'test cost=', '0.640889287')
('Epoch:', '0454', 'training cost=', '0.653567881')
('Epoch:', '0454', 'test cost=', '0.670706034')
('Epoch:', '0455', 'training cost=', '0.660317745')
('Epoch:', '0455', 'test cost=', '0.779063940')
('Epoch:', '0456', 'training cost=', '0.658098905')
('Epoch:', '0456', 'test cost=', '0.642947733')
('Epoch:', '0457', 'training cost=', '0.654809868')
('Epoch:', '0457', 'test cost=', '0.642865002')
('Epoch:', '0458', 'training cost=', '0.654606075')
('Epoch:', '0458', 'test cost=', '0.661009371')
('Epoch:', '0459', 'training cost=', '0.655316860')
('Epoch:', '0459', 'test cost=', '0.649529397')
('Epoch:', '0460', 'training cost=', '0.655647940')
('Epoch:', '0460', 'test cost=', '0.648481309')
('Epoch:', '0461', 'training cost=', '0.654866606')
('Epoch:', '0461', 'test cost=', '0.644791722')
('Epoch:', '0462', 'training cost=', '0.656841422')
('Epoch:', '0462', 'test cost=', '0.678617060')
('Epoch:', '0463', 'training cost=', '0.659477934')
('Epoch:', '0463', 'test cost=', '0.641199887')
('Epoch:', '0464', 'training cost=', '0.654174698')
('Epoch:', '0464', 'test cost=', '0.648562610')
('Epoch:', '0465', 'training cost=', '0.658236992')
('Epoch:', '0465', 'test cost=', '0.650024235')
('Epoch:', '0466', 'training cost=', '0.660655284')
('Epoch:', '0466', 'test cost=', '0.647822261')
('Epoch:', '0467', 'training cost=', '0.657306432')
('Epoch:', '0467', 'test cost=', '0.644804895')
('Epoch:', '0468', 'training cost=', '0.657770318')
('Epoch:', '0468', 'test cost=', '0.640830100')
('Epoch:', '0469', 'training cost=', '0.660856397')
('Epoch:', '0469', 'test cost=', '0.646196306')
('Epoch:', '0470', 'training cost=', '0.651607391')
('Epoch:', '0470', 'test cost=', '0.641238749')
('Epoch:', '0471', 'training cost=', '0.660088012')
('Epoch:', '0471', 'test cost=', '0.641665637')
('Epoch:', '0472', 'training cost=', '0.659532687')
('Epoch:', '0472', 'test cost=', '0.640838206')
('Epoch:', '0473', 'training cost=', '0.656591340')
('Epoch:', '0473', 'test cost=', '0.642077565')
('Epoch:', '0474', 'training cost=', '0.655162290')
('Epoch:', '0474', 'test cost=', '0.648683846')
('Epoch:', '0475', 'training cost=', '0.657577561')
('Epoch:', '0475', 'test cost=', '0.640837014')
('Epoch:', '0476', 'training cost=', '0.657028981')
('Epoch:', '0476', 'test cost=', '0.682971954')
('Epoch:', '0477', 'training cost=', '0.656876896')
('Epoch:', '0477', 'test cost=', '0.642049253')
('Epoch:', '0478', 'training cost=', '0.655984881')
('Epoch:', '0478', 'test cost=', '0.666499138')
('Epoch:', '0479', 'training cost=', '0.658265351')
('Epoch:', '0479', 'test cost=', '0.645187914')
('Epoch:', '0480', 'training cost=', '0.654178215')
('Epoch:', '0480', 'test cost=', '0.642763317')
('Epoch:', '0481', 'training cost=', '0.656608183')
('Epoch:', '0481', 'test cost=', '0.643894255')
('Epoch:', '0482', 'training cost=', '0.656648063')
('Epoch:', '0482', 'test cost=', '0.699037671')
('Epoch:', '0483', 'training cost=', '0.653395258')
('Epoch:', '0483', 'test cost=', '0.675882936')
('Epoch:', '0484', 'training cost=', '0.655222622')
('Epoch:', '0484', 'test cost=', '0.643134892')
('Epoch:', '0485', 'training cost=', '0.653284303')
('Epoch:', '0485', 'test cost=', '0.679206550')
('Epoch:', '0486', 'training cost=', '0.659657288')
('Epoch:', '0486', 'test cost=', '0.644021988')
('Epoch:', '0487', 'training cost=', '0.655661116')
('Epoch:', '0487', 'test cost=', '0.640883267')
('Epoch:', '0488', 'training cost=', '0.656255241')
('Epoch:', '0488', 'test cost=', '0.643308997')
('Epoch:', '0489', 'training cost=', '0.655384081')
('Epoch:', '0489', 'test cost=', '0.641438723')
('Epoch:', '0490', 'training cost=', '0.658163762')
('Epoch:', '0490', 'test cost=', '0.651060045')
('Epoch:', '0491', 'training cost=', '0.652462849')
('Epoch:', '0491', 'test cost=', '0.652705848')
('Epoch:', '0492', 'training cost=', '0.654762924')
('Epoch:', '0492', 'test cost=', '0.642806172')
('Epoch:', '0493', 'training cost=', '0.657415653')
('Epoch:', '0493', 'test cost=', '0.652705669')
('Epoch:', '0494', 'training cost=', '0.654970820')
('Epoch:', '0494', 'test cost=', '0.645642877')
('Epoch:', '0495', 'training cost=', '0.654902009')
('Epoch:', '0495', 'test cost=', '0.649516225')
('Epoch:', '0496', 'training cost=', '0.655419590')
('Epoch:', '0496', 'test cost=', '0.641455770')
('Epoch:', '0497', 'training cost=', '0.658654594')
('Epoch:', '0497', 'test cost=', '0.648486495')
('Epoch:', '0498', 'training cost=', '0.659640877')
('Epoch:', '0498', 'test cost=', '0.669334352')
('Epoch:', '0499', 'training cost=', '0.654078743')
('Epoch:', '0499', 'test cost=', '0.641330838')
('Epoch:', '0500', 'training cost=', '0.655121823')
('Epoch:', '0500', 'test cost=', '0.642929614')
('Epoch:', '0501', 'training cost=', '0.658132885')
('Epoch:', '0501', 'test cost=', '0.641181946')
('Epoch:', '0502', 'training cost=', '0.652964113')
('Epoch:', '0502', 'test cost=', '0.667240322')
('Epoch:', '0503', 'training cost=', '0.657264261')
('Epoch:', '0503', 'test cost=', '0.643174231')
('Epoch:', '0504', 'training cost=', '0.657153018')
('Epoch:', '0504', 'test cost=', '0.662159204')
('Epoch:', '0505', 'training cost=', '0.654717529')
('Epoch:', '0505', 'test cost=', '0.644839168')
('Epoch:', '0506', 'training cost=', '0.654938668')
('Epoch:', '0506', 'test cost=', '0.641811311')
('Epoch:', '0507', 'training cost=', '0.656568143')
('Epoch:', '0507', 'test cost=', '0.664422929')
('Epoch:', '0508', 'training cost=', '0.656433326')
('Epoch:', '0508', 'test cost=', '0.699289560')
('Epoch:', '0509', 'training cost=', '0.656469927')
('Epoch:', '0509', 'test cost=', '0.641846120')
('Epoch:', '0510', 'training cost=', '0.657491869')
('Epoch:', '0510', 'test cost=', '0.650092661')
('Epoch:', '0511', 'training cost=', '0.656221942')
('Epoch:', '0511', 'test cost=', '0.653768182')
('Epoch:', '0512', 'training cost=', '0.657975234')
('Epoch:', '0512', 'test cost=', '0.675671756')
('Epoch:', '0513', 'training cost=', '0.658195338')
('Epoch:', '0513', 'test cost=', '0.642162621')
('Epoch:', '0514', 'training cost=', '0.655679831')
('Epoch:', '0514', 'test cost=', '0.647856712')
('Epoch:', '0515', 'training cost=', '0.655821238')
('Epoch:', '0515', 'test cost=', '0.647182822')
('Epoch:', '0516', 'training cost=', '0.656380443')
('Epoch:', '0516', 'test cost=', '0.642630577')
('Epoch:', '0517', 'training cost=', '0.653685618')
('Epoch:', '0517', 'test cost=', '0.644089639')
('Epoch:', '0518', 'training cost=', '0.656043196')
('Epoch:', '0518', 'test cost=', '0.666899323')
('Epoch:', '0519', 'training cost=', '0.657085137')
('Epoch:', '0519', 'test cost=', '0.640803277')
('Epoch:', '0520', 'training cost=', '0.658175415')
('Epoch:', '0520', 'test cost=', '0.643976867')
('Epoch:', '0521', 'training cost=', '0.658565546')
('Epoch:', '0521', 'test cost=', '0.695686221')
('Epoch:', '0522', 'training cost=', '0.653981668')
('Epoch:', '0522', 'test cost=', '0.641102135')
('Epoch:', '0523', 'training cost=', '0.654566128')
('Epoch:', '0523', 'test cost=', '0.676184952')
('Epoch:', '0524', 'training cost=', '0.656623735')
('Epoch:', '0524', 'test cost=', '0.643081307')
('Epoch:', '0525', 'training cost=', '0.655635280')
('Epoch:', '0525', 'test cost=', '0.642978251')
('Epoch:', '0526', 'training cost=', '0.660459920')
('Epoch:', '0526', 'test cost=', '0.652918875')
('Epoch:', '0527', 'training cost=', '0.655238840')
('Epoch:', '0527', 'test cost=', '0.663258493')
('Epoch:', '0528', 'training cost=', '0.656410307')
('Epoch:', '0528', 'test cost=', '0.647050560')
('Epoch:', '0529', 'training cost=', '0.655013756')
('Epoch:', '0529', 'test cost=', '0.656025827')
('Epoch:', '0530', 'training cost=', '0.655083410')
('Epoch:', '0530', 'test cost=', '0.640799701')
('Epoch:', '0531', 'training cost=', '0.654178973')
('Epoch:', '0531', 'test cost=', '0.669946492')
('Epoch:', '0532', 'training cost=', '0.654711976')
('Epoch:', '0532', 'test cost=', '0.640856266')
('Epoch:', '0533', 'training cost=', '0.658440005')
('Epoch:', '0533', 'test cost=', '0.643382192')
('Epoch:', '0534', 'training cost=', '0.657991665')
('Epoch:', '0534', 'test cost=', '0.641956329')
('Epoch:', '0535', 'training cost=', '0.654700412')
('Epoch:', '0535', 'test cost=', '0.648083806')
('Epoch:', '0536', 'training cost=', '0.656301268')
('Epoch:', '0536', 'test cost=', '0.641371608')
('Epoch:', '0537', 'training cost=', '0.658956787')
('Epoch:', '0537', 'test cost=', '0.652566671')
('Epoch:', '0538', 'training cost=', '0.657581411')
('Epoch:', '0538', 'test cost=', '0.649379671')
('Epoch:', '0539', 'training cost=', '0.655761397')
('Epoch:', '0539', 'test cost=', '0.645308971')
('Epoch:', '0540', 'training cost=', '0.655413526')
('Epoch:', '0540', 'test cost=', '0.640939653')
('Epoch:', '0541', 'training cost=', '0.655600254')
('Epoch:', '0541', 'test cost=', '0.641090631')
('Epoch:', '0542', 'training cost=', '0.655771938')
('Epoch:', '0542', 'test cost=', '0.652792871')
('Epoch:', '0543', 'training cost=', '0.656923614')
('Epoch:', '0543', 'test cost=', '0.662973821')
('Epoch:', '0544', 'training cost=', '0.656737740')
('Epoch:', '0544', 'test cost=', '0.641323984')
('Epoch:', '0545', 'training cost=', '0.653168924')
('Epoch:', '0545', 'test cost=', '0.641374052')
('Epoch:', '0546', 'training cost=', '0.658525814')
('Epoch:', '0546', 'test cost=', '0.649080396')
('Epoch:', '0547', 'training cost=', '0.654885407')
('Epoch:', '0547', 'test cost=', '0.651464045')
('Epoch:', '0548', 'training cost=', '0.659238051')
('Epoch:', '0548', 'test cost=', '0.643689930')
('Epoch:', '0549', 'training cost=', '0.658193507')
('Epoch:', '0549', 'test cost=', '0.703227222')
('Epoch:', '0550', 'training cost=', '0.655914531')
('Epoch:', '0550', 'test cost=', '0.686173022')
('Epoch:', '0551', 'training cost=', '0.653574014')
('Epoch:', '0551', 'test cost=', '0.669788063')
('Epoch:', '0552', 'training cost=', '0.658273348')
('Epoch:', '0552', 'test cost=', '0.646771669')
('Epoch:', '0553', 'training cost=', '0.653817303')
('Epoch:', '0553', 'test cost=', '0.655737281')
('Epoch:', '0554', 'training cost=', '0.655873636')
('Epoch:', '0554', 'test cost=', '0.656866431')
('Epoch:', '0555', 'training cost=', '0.658086085')
('Epoch:', '0555', 'test cost=', '0.653071165')
('Epoch:', '0556', 'training cost=', '0.658257805')
('Epoch:', '0556', 'test cost=', '0.640981615')
('Epoch:', '0557', 'training cost=', '0.656764141')
('Epoch:', '0557', 'test cost=', '0.661452293')
('Epoch:', '0558', 'training cost=', '0.656374608')
('Epoch:', '0558', 'test cost=', '0.647072077')
('Epoch:', '0559', 'training cost=', '0.657220465')
('Epoch:', '0559', 'test cost=', '0.643345892')
('Epoch:', '0560', 'training cost=', '0.658946408')
('Epoch:', '0560', 'test cost=', '0.648253441')
('Epoch:', '0561', 'training cost=', '0.656225662')
('Epoch:', '0561', 'test cost=', '0.675572097')
('Epoch:', '0562', 'training cost=', '0.655000225')
('Epoch:', '0562', 'test cost=', '0.644963384')
('Epoch:', '0563', 'training cost=', '0.653350806')
('Epoch:', '0563', 'test cost=', '0.640778244')
('Epoch:', '0564', 'training cost=', '0.657126322')
('Epoch:', '0564', 'test cost=', '0.676464915')
('Epoch:', '0565', 'training cost=', '0.657738138')
('Epoch:', '0565', 'test cost=', '0.644404411')
('Epoch:', '0566', 'training cost=', '0.655593108')
('Epoch:', '0566', 'test cost=', '0.649433434')
('Epoch:', '0567', 'training cost=', '0.657845911')
('Epoch:', '0567', 'test cost=', '0.643840611')
('Epoch:', '0568', 'training cost=', '0.655686166')
('Epoch:', '0568', 'test cost=', '0.645996571')
('Epoch:', '0569', 'training cost=', '0.656667470')
('Epoch:', '0569', 'test cost=', '0.641591132')
('Epoch:', '0570', 'training cost=', '0.654266913')
('Epoch:', '0570', 'test cost=', '0.654926002')
('Epoch:', '0571', 'training cost=', '0.655727716')
('Epoch:', '0571', 'test cost=', '0.641156793')
('Epoch:', '0572', 'training cost=', '0.657902519')
('Epoch:', '0572', 'test cost=', '0.644608200')
('Epoch:', '0573', 'training cost=', '0.654180325')
('Epoch:', '0573', 'test cost=', '0.647878051')
('Epoch:', '0574', 'training cost=', '0.653842151')
('Epoch:', '0574', 'test cost=', '0.658547223')
('Epoch:', '0575', 'training cost=', '0.657927502')
('Epoch:', '0575', 'test cost=', '0.640865445')
('Epoch:', '0576', 'training cost=', '0.654119425')
('Epoch:', '0576', 'test cost=', '0.645069242')
('Epoch:', '0577', 'training cost=', '0.656674988')
('Epoch:', '0577', 'test cost=', '0.676910043')
('Epoch:', '0578', 'training cost=', '0.657220838')
('Epoch:', '0578', 'test cost=', '0.676758826')
('Epoch:', '0579', 'training cost=', '0.657641530')
('Epoch:', '0579', 'test cost=', '0.640949190')
('Epoch:', '0580', 'training cost=', '0.654390912')
('Epoch:', '0580', 'test cost=', '0.640907764')
('Epoch:', '0581', 'training cost=', '0.657560596')
('Epoch:', '0581', 'test cost=', '0.686625004')
('Epoch:', '0582', 'training cost=', '0.660192318')
('Epoch:', '0582', 'test cost=', '0.644952476')
('Epoch:', '0583', 'training cost=', '0.657215069')
('Epoch:', '0583', 'test cost=', '0.643333614')
('Epoch:', '0584', 'training cost=', '0.653914147')
('Epoch:', '0584', 'test cost=', '0.666506469')
('Epoch:', '0585', 'training cost=', '0.656505050')
('Epoch:', '0585', 'test cost=', '0.666847527')
('Epoch:', '0586', 'training cost=', '0.656822885')
('Epoch:', '0586', 'test cost=', '0.641424060')
('Epoch:', '0587', 'training cost=', '0.653077355')
('Epoch:', '0587', 'test cost=', '0.644958019')
('Epoch:', '0588', 'training cost=', '0.656995827')
('Epoch:', '0588', 'test cost=', '0.649490952')
('Epoch:', '0589', 'training cost=', '0.658424169')
('Epoch:', '0589', 'test cost=', '0.640977323')
('Epoch:', '0590', 'training cost=', '0.656490584')
('Epoch:', '0590', 'test cost=', '0.640799642')
('Epoch:', '0591', 'training cost=', '0.656499182')
('Epoch:', '0591', 'test cost=', '0.654430926')
('Epoch:', '0592', 'training cost=', '0.654220992')
('Epoch:', '0592', 'test cost=', '0.678624690')
('Epoch:', '0593', 'training cost=', '71376792.054573357')
('Epoch:', '0593', 'test cost=', '0.662901640')
('Epoch:', '0594', 'training cost=', '0.657595376')
('Epoch:', '0594', 'test cost=', '0.642750740')
('Epoch:', '0595', 'training cost=', '0.652817658')
('Epoch:', '0595', 'test cost=', '0.669023633')
('Epoch:', '0596', 'training cost=', '0.656829679')
('Epoch:', '0596', 'test cost=', '0.655722082')
('Epoch:', '0597', 'training cost=', '0.655973540')
('Epoch:', '0597', 'test cost=', '0.643759131')
('Epoch:', '0598', 'training cost=', '0.655190354')
('Epoch:', '0598', 'test cost=', '0.641082525')
('Epoch:', '0599', 'training cost=', '0.655160831')
('Epoch:', '0599', 'test cost=', '0.764593363')
('Epoch:', '0600', 'training cost=', '0.657203616')
('Epoch:', '0600', 'test cost=', '0.654303432')
('Epoch:', '0601', 'training cost=', '0.656322929')
('Epoch:', '0601', 'test cost=', '0.646487236')
('Epoch:', '0602', 'training cost=', '0.655843909')
('Epoch:', '0602', 'test cost=', '0.642000854')
('Epoch:', '0603', 'training cost=', '0.658490546')
('Epoch:', '0603', 'test cost=', '0.642724395')
('Epoch:', '0604', 'training cost=', '0.654006365')
('Epoch:', '0604', 'test cost=', '0.642174125')
('Epoch:', '0605', 'training cost=', '0.656199666')
('Epoch:', '0605', 'test cost=', '0.655479133')
('Epoch:', '0606', 'training cost=', '0.659245800')
('Epoch:', '0606', 'test cost=', '0.642605782')
('Epoch:', '0607', 'training cost=', '0.654934465')
('Epoch:', '0607', 'test cost=', '0.647767723')
('Epoch:', '0608', 'training cost=', '0.651906012')
('Epoch:', '0608', 'test cost=', '0.648842752')
('Epoch:', '0609', 'training cost=', '0.659514392')
('Epoch:', '0609', 'test cost=', '0.641537786')
('Epoch:', '0610', 'training cost=', '0.655416757')
('Epoch:', '0610', 'test cost=', '0.651868105')
('Epoch:', '0611', 'training cost=', '0.658801156')
('Epoch:', '0611', 'test cost=', '0.643703341')
('Epoch:', '0612', 'training cost=', '0.652724989')
('Epoch:', '0612', 'test cost=', '0.640839040')
('Epoch:', '0613', 'training cost=', '0.652121378')
('Epoch:', '0613', 'test cost=', '0.641982615')
('Epoch:', '0614', 'training cost=', '0.654564538')
('Epoch:', '0614', 'test cost=', '0.681502938')
('Epoch:', '0615', 'training cost=', '0.655130168')
('Epoch:', '0615', 'test cost=', '0.677850962')
('Epoch:', '0616', 'training cost=', '0.656775461')
('Epoch:', '0616', 'test cost=', '0.643870771')
('Epoch:', '0617', 'training cost=', '32.613303596')
('Epoch:', '0617', 'test cost=', '0.641579211')
('Epoch:', '0618', 'training cost=', '1200986.543189480')
('Epoch:', '0618', 'test cost=', '0.651856959')
('Epoch:', '0619', 'training cost=', '0.654161263')
('Epoch:', '0619', 'test cost=', '0.666516423')
('Epoch:', '0620', 'training cost=', '0.652124359')
('Epoch:', '0620', 'test cost=', '0.642726004')
('Epoch:', '0621', 'training cost=', '0.653511339')
('Epoch:', '0621', 'test cost=', '0.648825824')
('Epoch:', '0622', 'training cost=', '0.656708449')
('Epoch:', '0622', 'test cost=', '0.640881181')
('Epoch:', '0623', 'training cost=', '0.662414836')
('Epoch:', '0623', 'test cost=', '0.645053446')
('Epoch:', '0624', 'training cost=', '0.653919962')
('Epoch:', '0624', 'test cost=', '0.655103624')
('Epoch:', '0625', 'training cost=', '0.654954894')
('Epoch:', '0625', 'test cost=', '0.650744379')
('Epoch:', '0626', 'training cost=', '0.658712532')
('Epoch:', '0626', 'test cost=', '0.640955329')
('Epoch:', '0627', 'training cost=', '0.654264820')
('Epoch:', '0627', 'test cost=', '0.651647449')
('Epoch:', '0628', 'training cost=', '0.656887749')
('Epoch:', '0628', 'test cost=', '0.651618242')
('Epoch:', '0629', 'training cost=', '0.656431885')
('Epoch:', '0629', 'test cost=', '0.643102467')
('Epoch:', '0630', 'training cost=', '0.653466637')
('Epoch:', '0630', 'test cost=', '0.640834689')
('Epoch:', '0631', 'training cost=', '0.656425559')
('Epoch:', '0631', 'test cost=', '0.728346407')
('Epoch:', '0632', 'training cost=', '0.657747472')
('Epoch:', '0632', 'test cost=', '0.655643225')
('Epoch:', '0633', 'training cost=', '0.654648475')
('Epoch:', '0633', 'test cost=', '0.728223562')
('Epoch:', '0634', 'training cost=', '0.655942694')
('Epoch:', '0634', 'test cost=', '0.691214561')
('Epoch:', '0635', 'training cost=', '0.660481276')
('Epoch:', '0635', 'test cost=', '0.661157370')
('Epoch:', '0636', 'training cost=', '0.657300988')
('Epoch:', '0636', 'test cost=', '0.645671070')
('Epoch:', '0637', 'training cost=', '0.654963922')
('Epoch:', '0637', 'test cost=', '0.640887201')
('Epoch:', '0638', 'training cost=', '0.657514081')
('Epoch:', '0638', 'test cost=', '0.646777630')
('Epoch:', '0639', 'training cost=', '0.654873230')
('Epoch:', '0639', 'test cost=', '0.707201242')
('Epoch:', '0640', 'training cost=', '0.658743429')
('Epoch:', '0640', 'test cost=', '0.641427517')
('Epoch:', '0641', 'training cost=', '0.657098214')
('Epoch:', '0641', 'test cost=', '0.643922329')
('Epoch:', '0642', 'training cost=', '0.657241708')
('Epoch:', '0642', 'test cost=', '0.643206716')
('Epoch:', '0643', 'training cost=', '0.654262995')
('Epoch:', '0643', 'test cost=', '0.641890943')
('Epoch:', '0644', 'training cost=', '0.657041307')
('Epoch:', '0644', 'test cost=', '0.665114343')
('Epoch:', '0645', 'training cost=', '0.657892639')
('Epoch:', '0645', 'test cost=', '0.642859399')
('Epoch:', '0646', 'training cost=', '0.654110872')
('Epoch:', '0646', 'test cost=', '0.641653836')
('Epoch:', '0647', 'training cost=', '0.655631225')
('Epoch:', '0647', 'test cost=', '0.645486057')
('Epoch:', '0648', 'training cost=', '0.656348910')
('Epoch:', '0648', 'test cost=', '0.641379416')
('Epoch:', '0649', 'training cost=', '0.654947823')
('Epoch:', '0649', 'test cost=', '0.646760702')
('Epoch:', '0650', 'training cost=', '0.655979295')
('Epoch:', '0650', 'test cost=', '0.655722201')
('Epoch:', '0651', 'training cost=', '0.658746073')
('Epoch:', '0651', 'test cost=', '0.646615148')
('Epoch:', '0652', 'training cost=', '0.654497454')
('Epoch:', '0652', 'test cost=', '0.654790640')
('Epoch:', '0653', 'training cost=', '0.657898236')
('Epoch:', '0653', 'test cost=', '0.640810668')
('Epoch:', '0654', 'training cost=', '0.657174936')
('Epoch:', '0654', 'test cost=', '0.640789926')
('Epoch:', '0655', 'training cost=', '0.659211161')
('Epoch:', '0655', 'test cost=', '0.661340415')
('Epoch:', '0656', 'training cost=', '0.657463831')
('Epoch:', '0656', 'test cost=', '0.644465387')
('Epoch:', '0657', 'training cost=', '0.657338058')
('Epoch:', '0657', 'test cost=', '0.669973314')
('Epoch:', '0658', 'training cost=', '0.655148160')
('Epoch:', '0658', 'test cost=', '0.640827119')
('Epoch:', '0659', 'training cost=', '0.657280414')
('Epoch:', '0659', 'test cost=', '0.660915196')
('Epoch:', '0660', 'training cost=', '0.657291663')
('Epoch:', '0660', 'test cost=', '0.646763206')
('Epoch:', '0661', 'training cost=', '0.654137449')
('Epoch:', '0661', 'test cost=', '0.722137034')
('Epoch:', '0662', 'training cost=', '0.654169429')
('Epoch:', '0662', 'test cost=', '0.649274409')
('Epoch:', '0663', 'training cost=', '0.659705686')
('Epoch:', '0663', 'test cost=', '0.643880010')
('Epoch:', '0664', 'training cost=', '0.659120322')
('Epoch:', '0664', 'test cost=', '0.645060718')
('Epoch:', '0665', 'training cost=', '0.655100079')
('Epoch:', '0665', 'test cost=', '0.645346701')
('Epoch:', '0666', 'training cost=', '0.654686195')
('Epoch:', '0666', 'test cost=', '0.662861347')
('Epoch:', '0667', 'training cost=', '0.655633515')
('Epoch:', '0667', 'test cost=', '0.651462972')
('Epoch:', '0668', 'training cost=', '0.657626683')
('Epoch:', '0668', 'test cost=', '0.685403049')
('Epoch:', '0669', 'training cost=', '0.656109735')
('Epoch:', '0669', 'test cost=', '0.641251981')
('Epoch:', '0670', 'training cost=', '0.657148413')
('Epoch:', '0670', 'test cost=', '0.650672078')
('Epoch:', '0671', 'training cost=', '0.656039972')
('Epoch:', '0671', 'test cost=', '0.643935621')
('Epoch:', '0672', 'training cost=', '0.651520211')
('Epoch:', '0672', 'test cost=', '0.645633101')
('Epoch:', '0673', 'training cost=', '0.655790313')
('Epoch:', '0673', 'test cost=', '0.674547434')
('Epoch:', '0674', 'training cost=', '0.658208472')
('Epoch:', '0674', 'test cost=', '0.641887188')
('Epoch:', '0675', 'training cost=', '0.655265083')
('Epoch:', '0675', 'test cost=', '0.643667281')
('Epoch:', '0676', 'training cost=', '0.654753965')
('Epoch:', '0676', 'test cost=', '0.641796768')
('Epoch:', '0677', 'training cost=', '0.654644388')
('Epoch:', '0677', 'test cost=', '0.643680930')
('Epoch:', '0678', 'training cost=', '0.655742026')
('Epoch:', '0678', 'test cost=', '0.646709085')
('Epoch:', '0679', 'training cost=', '0.654926080')
('Epoch:', '0679', 'test cost=', '0.650376081')
('Epoch:', '0680', 'training cost=', '0.656906700')
('Epoch:', '0680', 'test cost=', '0.675924420')
('Epoch:', '0681', 'training cost=', '0.658580639')
('Epoch:', '0681', 'test cost=', '0.642791092')
('Epoch:', '0682', 'training cost=', '0.654603428')
('Epoch:', '0682', 'test cost=', '0.655875623')
('Epoch:', '0683', 'training cost=', '0.654382089')
('Epoch:', '0683', 'test cost=', '0.644315124')
('Epoch:', '0684', 'training cost=', '0.657108983')
('Epoch:', '0684', 'test cost=', '0.681488633')
('Epoch:', '0685', 'training cost=', '0.654663364')
('Epoch:', '0685', 'test cost=', '0.643806875')
('Epoch:', '0686', 'training cost=', '0.656599675')
('Epoch:', '0686', 'test cost=', '0.647514939')
('Epoch:', '0687', 'training cost=', '0.655933359')
('Epoch:', '0687', 'test cost=', '0.659555733')
('Epoch:', '0688', 'training cost=', '0.655807338')
('Epoch:', '0688', 'test cost=', '0.640783727')
('Epoch:', '0689', 'training cost=', '0.655425189')
('Epoch:', '0689', 'test cost=', '0.644848585')
('Epoch:', '0690', 'training cost=', '0.657312835')
('Epoch:', '0690', 'test cost=', '0.669060767')
('Epoch:', '0691', 'training cost=', '0.655200940')
('Epoch:', '0691', 'test cost=', '0.641922295')
('Epoch:', '0692', 'training cost=', '0.657825721')
('Epoch:', '0692', 'test cost=', '0.648134649')
('Epoch:', '0693', 'training cost=', '0.653961310')
('Epoch:', '0693', 'test cost=', '0.643191576')
('Epoch:', '0694', 'training cost=', '0.656487426')
('Epoch:', '0694', 'test cost=', '0.645052314')
('Epoch:', '0695', 'training cost=', '0.657660323')
('Epoch:', '0695', 'test cost=', '0.666664839')
('Epoch:', '0696', 'training cost=', '0.656361556')
('Epoch:', '0696', 'test cost=', '0.640835524')
('Epoch:', '0697', 'training cost=', '0.654349942')
('Epoch:', '0697', 'test cost=', '0.649126887')
('Epoch:', '0698', 'training cost=', '0.658462798')
('Epoch:', '0698', 'test cost=', '0.641397655')
('Epoch:', '0699', 'training cost=', '0.656863446')
('Epoch:', '0699', 'test cost=', '0.665125370')
('Epoch:', '0700', 'training cost=', '0.660063838')
('Epoch:', '0700', 'test cost=', '0.641911805')
('Epoch:', '0701', 'training cost=', '0.656373365')
('Epoch:', '0701', 'test cost=', '0.657962322')
('Epoch:', '0702', 'training cost=', '0.658285198')
('Epoch:', '0702', 'test cost=', '0.650783777')
('Epoch:', '0703', 'training cost=', '0.657728980')
('Epoch:', '0703', 'test cost=', '0.644585669')
('Epoch:', '0704', 'training cost=', '0.656092493')
('Epoch:', '0704', 'test cost=', '0.641894877')
('Epoch:', '0705', 'training cost=', '0.659553514')
('Epoch:', '0705', 'test cost=', '0.683200419')
('Epoch:', '0706', 'training cost=', '0.656880966')
('Epoch:', '0706', 'test cost=', '0.649615526')
('Epoch:', '0707', 'training cost=', '0.655965008')
('Epoch:', '0707', 'test cost=', '0.648984432')
('Epoch:', '0708', 'training cost=', '0.656225809')
('Epoch:', '0708', 'test cost=', '0.658075690')
