Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([366]), u'n_hidden_layers': array([2]), u'learning_rate': array([ 0.0001]), u'beta': array([ 100.])}
('Epoch:', '0511', 'training cost=', '0.640587928')
('Epoch:', '0511', 'test cost=', '0.640809298')
('Epoch:', '0512', 'training cost=', '0.644532277')
('Epoch:', '0512', 'test cost=', '0.640850127')
('Epoch:', '0513', 'training cost=', '0.641563274')
('Epoch:', '0513', 'test cost=', '0.640823841')
('Epoch:', '0514', 'training cost=', '0.642791405')
('Epoch:', '0514', 'test cost=', '0.640787601')
('Epoch:', '0515', 'training cost=', '0.641451706')
('Epoch:', '0515', 'test cost=', '0.640835583')
('Epoch:', '0516', 'training cost=', '0.640784259')
('Epoch:', '0516', 'test cost=', '0.640823364')
('Epoch:', '0517', 'training cost=', '0.641884457')
('Epoch:', '0517', 'test cost=', '0.640817940')
('Epoch:', '0518', 'training cost=', '0.642646074')
('Epoch:', '0518', 'test cost=', '0.640828967')
('Epoch:', '0519', 'training cost=', '0.641596728')
('Epoch:', '0519', 'test cost=', '0.640817165')
('Epoch:', '0520', 'training cost=', '0.642273973')
('Epoch:', '0520', 'test cost=', '0.640831828')
('Epoch:', '0521', 'training cost=', '0.642374547')
('Epoch:', '0521', 'test cost=', '0.640827239')
('Epoch:', '0522', 'training cost=', '0.642937399')
('Epoch:', '0522', 'test cost=', '0.640785277')
('Epoch:', '0523', 'training cost=', '0.644759510')
('Epoch:', '0523', 'test cost=', '0.640851855')
('Epoch:', '0524', 'training cost=', '0.640804430')
('Epoch:', '0524', 'test cost=', '0.640834868')
('Epoch:', '0525', 'training cost=', '0.640719587')
('Epoch:', '0525', 'test cost=', '0.640843630')
('Epoch:', '0526', 'training cost=', '0.644014640')
('Epoch:', '0526', 'test cost=', '0.640818655')
('Epoch:', '0527', 'training cost=', '0.642331611')
('Epoch:', '0527', 'test cost=', '0.640785813')
('Epoch:', '0528', 'training cost=', '0.643153147')
('Epoch:', '0528', 'test cost=', '0.640813649')
('Epoch:', '0529', 'training cost=', '0.641355736')
('Epoch:', '0529', 'test cost=', '0.640814185')
('Epoch:', '0530', 'training cost=', '0.642653854')
('Epoch:', '0530', 'test cost=', '0.640849590')
('Epoch:', '0531', 'training cost=', '0.640713605')
('Epoch:', '0531', 'test cost=', '0.640813053')
('Epoch:', '0532', 'training cost=', '0.642739501')
('Epoch:', '0532', 'test cost=', '0.640827477')
('Epoch:', '0533', 'training cost=', '0.643570051')
('Epoch:', '0533', 'test cost=', '0.640858948')
('Epoch:', '0534', 'training cost=', '0.642571303')
('Epoch:', '0534', 'test cost=', '0.640835881')
('Epoch:', '0535', 'training cost=', '0.642054607')
('Epoch:', '0535', 'test cost=', '0.640820324')
('Epoch:', '0536', 'training cost=', '0.644145122')
('Epoch:', '0536', 'test cost=', '0.640796006')
('Epoch:', '0537', 'training cost=', '0.641935333')
('Epoch:', '0537', 'test cost=', '0.640797436')
('Epoch:', '0538', 'training cost=', '0.642884748')
('Epoch:', '0538', 'test cost=', '0.640792251')
('Epoch:', '0539', 'training cost=', '0.643027713')
('Epoch:', '0539', 'test cost=', '0.640844703')
('Epoch:', '0540', 'training cost=', '0.640483899')
('Epoch:', '0540', 'test cost=', '0.640815616')
('Epoch:', '0541', 'training cost=', '0.642399977')
('Epoch:', '0541', 'test cost=', '0.640835464')
('Epoch:', '0542', 'training cost=', '0.641715708')
('Epoch:', '0542', 'test cost=', '0.640832067')
('Epoch:', '0543', 'training cost=', '0.640293338')
('Epoch:', '0543', 'test cost=', '0.640775561')
('Epoch:', '0544', 'training cost=', '0.642551310')
('Epoch:', '0544', 'test cost=', '0.640794098')
('Epoch:', '0545', 'training cost=', '0.641623576')
('Epoch:', '0545', 'test cost=', '0.640835762')
('Epoch:', '0546', 'training cost=', '0.642408211')
('Epoch:', '0546', 'test cost=', '0.640789509')
('Epoch:', '0547', 'training cost=', '0.641006608')
('Epoch:', '0547', 'test cost=', '0.640812099')
('Epoch:', '0548', 'training cost=', '0.642529743')
('Epoch:', '0548', 'test cost=', '0.640802026')
('Epoch:', '0549', 'training cost=', '0.640632204')
('Epoch:', '0549', 'test cost=', '0.640829563')
('Epoch:', '0550', 'training cost=', '0.642938719')
('Epoch:', '0550', 'test cost=', '0.640814245')
('Epoch:', '0551', 'training cost=', '0.641994589')
('Epoch:', '0551', 'test cost=', '0.640833616')
('Epoch:', '0552', 'training cost=', '0.640844792')
('Epoch:', '0552', 'test cost=', '0.640784085')
('Epoch:', '0553', 'training cost=', '0.643099944')
('Epoch:', '0553', 'test cost=', '0.640798509')
('Epoch:', '0554', 'training cost=', '0.643095084')
('Epoch:', '0554', 'test cost=', '0.640817165')
('Epoch:', '0555', 'training cost=', '0.642066830')
('Epoch:', '0555', 'test cost=', '0.640801668')
('Epoch:', '0556', 'training cost=', '0.640165496')
('Epoch:', '0556', 'test cost=', '0.640780330')
('Epoch:', '0557', 'training cost=', '0.640169875')
('Epoch:', '0557', 'test cost=', '0.640819788')
('Epoch:', '0558', 'training cost=', '0.642565610')
('Epoch:', '0558', 'test cost=', '0.640828431')
('Epoch:', '0559', 'training cost=', '0.644781006')
('Epoch:', '0559', 'test cost=', '0.640818834')
('Epoch:', '0560', 'training cost=', '0.642476683')
('Epoch:', '0560', 'test cost=', '0.640854776')
('Epoch:', '0561', 'training cost=', '0.641746402')
('Epoch:', '0561', 'test cost=', '0.640804291')
('Epoch:', '0562', 'training cost=', '0.642378679')
('Epoch:', '0562', 'test cost=', '0.640785933')
('Epoch:', '0563', 'training cost=', '0.640369463')
('Epoch:', '0563', 'test cost=', '0.640811563')
('Epoch:', '0564', 'training cost=', '0.641233042')
('Epoch:', '0564', 'test cost=', '0.640803099')
('Epoch:', '0565', 'training cost=', '0.641767182')
('Epoch:', '0565', 'test cost=', '0.640784562')
('Epoch:', '0566', 'training cost=', '0.642468899')
('Epoch:', '0566', 'test cost=', '0.640820384')
('Epoch:', '0567', 'training cost=', '0.642332222')
('Epoch:', '0567', 'test cost=', '0.640788198')
('Epoch:', '0568', 'training cost=', '0.641848662')
('Epoch:', '0568', 'test cost=', '0.640823424')
('Epoch:', '0569', 'training cost=', '0.643139161')
('Epoch:', '0569', 'test cost=', '0.640791476')
('Epoch:', '0570', 'training cost=', '0.641209314')
('Epoch:', '0570', 'test cost=', '0.640830338')
('Epoch:', '0571', 'training cost=', '0.640994303')
('Epoch:', '0571', 'test cost=', '0.640808702')
('Epoch:', '0572', 'training cost=', '0.641278986')
('Epoch:', '0572', 'test cost=', '0.640808403')
('Epoch:', '0573', 'training cost=', '0.641783998')
('Epoch:', '0573', 'test cost=', '0.640792787')
('Epoch:', '0574', 'training cost=', '0.643470567')
('Epoch:', '0574', 'test cost=', '0.640826166')
('Epoch:', '0575', 'training cost=', '0.641505625')
('Epoch:', '0575', 'test cost=', '0.640831649')
('Epoch:', '0576', 'training cost=', '0.641453847')
('Epoch:', '0576', 'test cost=', '0.640797377')
('Epoch:', '0577', 'training cost=', '0.642902011')
('Epoch:', '0577', 'test cost=', '0.640820086')
('Epoch:', '0578', 'training cost=', '0.641250190')
('Epoch:', '0578', 'test cost=', '0.640799701')
('Epoch:', '0579', 'training cost=', '0.643144607')
('Epoch:', '0579', 'test cost=', '0.640796959')
('Epoch:', '0580', 'training cost=', '0.642431486')
('Epoch:', '0580', 'test cost=', '0.640800953')
('Epoch:', '0581', 'training cost=', '0.641399380')
('Epoch:', '0581', 'test cost=', '0.640817404')
('Epoch:', '0582', 'training cost=', '0.643459603')
('Epoch:', '0582', 'test cost=', '0.640854836')
('Epoch:', '0583', 'training cost=', '0.641228439')
('Epoch:', '0583', 'test cost=', '0.640825331')
('Epoch:', '0584', 'training cost=', '0.643192880')
('Epoch:', '0584', 'test cost=', '0.640797138')
('Epoch:', '0585', 'training cost=', '0.640322807')
('Epoch:', '0585', 'test cost=', '0.640784204')
('Epoch:', '0586', 'training cost=', '0.641644045')
('Epoch:', '0586', 'test cost=', '0.640818655')
('Epoch:', '0587', 'training cost=', '0.643430545')
('Epoch:', '0587', 'test cost=', '0.640821397')
('Epoch:', '0588', 'training cost=', '0.641830841')
('Epoch:', '0588', 'test cost=', '0.640796602')
('Epoch:', '0589', 'training cost=', '0.640754841')
('Epoch:', '0589', 'test cost=', '0.640779376')
('Epoch:', '0590', 'training cost=', '0.645146825')
('Epoch:', '0590', 'test cost=', '0.640826762')
('Epoch:', '0591', 'training cost=', '0.641385611')
('Epoch:', '0591', 'test cost=', '0.640828431')
('Epoch:', '0592', 'training cost=', '0.642025539')
('Epoch:', '0592', 'test cost=', '0.640816629')
('Epoch:', '0593', 'training cost=', '0.641319678')
('Epoch:', '0593', 'test cost=', '0.640821993')
('Epoch:', '0594', 'training cost=', '0.643176583')
('Epoch:', '0594', 'test cost=', '0.640806556')
('Epoch:', '0595', 'training cost=', '0.642004968')
('Epoch:', '0595', 'test cost=', '0.640818119')
('Epoch:', '0596', 'training cost=', '0.641813246')
('Epoch:', '0596', 'test cost=', '0.640789628')
('Epoch:', '0597', 'training cost=', '0.644031992')
('Epoch:', '0597', 'test cost=', '0.640820861')
('Epoch:', '0598', 'training cost=', '0.642440692')
('Epoch:', '0598', 'test cost=', '0.640840352')
('Epoch:', '0599', 'training cost=', '0.642650212')
('Epoch:', '0599', 'test cost=', '0.640809834')
('Epoch:', '0600', 'training cost=', '0.641468088')
('Epoch:', '0600', 'test cost=', '0.640780330')
('Epoch:', '0601', 'training cost=', '0.643645263')
('Epoch:', '0601', 'test cost=', '0.640841305')
('Epoch:', '0602', 'training cost=', '0.640996692')
('Epoch:', '0602', 'test cost=', '0.640790224')
('Epoch:', '0603', 'training cost=', '0.642593083')
('Epoch:', '0603', 'test cost=', '0.640793920')
('Epoch:', '0604', 'training cost=', '0.641600443')
('Epoch:', '0604', 'test cost=', '0.640811443')
('Epoch:', '0605', 'training cost=', '0.643504220')
('Epoch:', '0605', 'test cost=', '0.640816212')
('Epoch:', '0606', 'training cost=', '0.643630470')
('Epoch:', '0606', 'test cost=', '0.640866458')
('Epoch:', '0607', 'training cost=', '0.641961534')
('Epoch:', '0607', 'test cost=', '0.640830994')
('Epoch:', '0608', 'training cost=', '0.642460041')
('Epoch:', '0608', 'test cost=', '0.640794933')
('Epoch:', '0609', 'training cost=', '0.643078660')
('Epoch:', '0609', 'test cost=', '0.640821218')
('Epoch:', '0610', 'training cost=', '0.641990647')
('Epoch:', '0610', 'test cost=', '0.640819490')
('Epoch:', '0611', 'training cost=', '0.642448063')
('Epoch:', '0611', 'test cost=', '0.640825510')
('Epoch:', '0612', 'training cost=', '0.642347676')
('Epoch:', '0612', 'test cost=', '0.640820563')
('Epoch:', '0613', 'training cost=', '0.642559362')
('Epoch:', '0613', 'test cost=', '0.640797973')
('Epoch:', '0614', 'training cost=', '0.640717849')
('Epoch:', '0614', 'test cost=', '0.640765250')
('Epoch:', '0615', 'training cost=', '0.642365187')
('Epoch:', '0615', 'test cost=', '0.640832901')
('Epoch:', '0616', 'training cost=', '0.641555122')
('Epoch:', '0616', 'test cost=', '0.640782058')
('Epoch:', '0617', 'training cost=', '0.643412846')
('Epoch:', '0617', 'test cost=', '0.640839756')
('Epoch:', '0618', 'training cost=', '0.642044943')
('Epoch:', '0618', 'test cost=', '0.640855253')
('Epoch:', '0619', 'training cost=', '0.642168502')
('Epoch:', '0619', 'test cost=', '0.640816629')
('Epoch:', '0620', 'training cost=', '0.642850656')
('Epoch:', '0620', 'test cost=', '0.640826762')
('Epoch:', '0621', 'training cost=', '0.642384124')
('Epoch:', '0621', 'test cost=', '0.640800297')
('Epoch:', '0622', 'training cost=', '0.643739979')
('Epoch:', '0622', 'test cost=', '0.640856862')
('Epoch:', '0623', 'training cost=', '0.642113462')
('Epoch:', '0623', 'test cost=', '0.640831530')
('Epoch:', '0624', 'training cost=', '0.643436634')
('Epoch:', '0624', 'test cost=', '0.640845239')
('Epoch:', '0625', 'training cost=', '0.644666278')
('Epoch:', '0625', 'test cost=', '0.640880167')
('Epoch:', '0626', 'training cost=', '0.643800230')
('Epoch:', '0626', 'test cost=', '0.640892386')
('Epoch:', '0627', 'training cost=', '0.642846549')
('Epoch:', '0627', 'test cost=', '0.640820503')
('Epoch:', '0628', 'training cost=', '0.643966799')
('Epoch:', '0628', 'test cost=', '0.640862286')
('Epoch:', '0629', 'training cost=', '0.641397068')
('Epoch:', '0629', 'test cost=', '0.640775681')
('Epoch:', '0630', 'training cost=', '0.642705917')
('Epoch:', '0630', 'test cost=', '0.640789032')
('Epoch:', '0631', 'training cost=', '0.641695891')
('Epoch:', '0631', 'test cost=', '0.640826344')
('Epoch:', '0632', 'training cost=', '0.642095794')
('Epoch:', '0632', 'test cost=', '0.640811205')
('Epoch:', '0633', 'training cost=', '0.642861722')
('Epoch:', '0633', 'test cost=', '0.640804529')
('Epoch:', '0634', 'training cost=', '0.642817188')
('Epoch:', '0634', 'test cost=', '0.640835106')
('Epoch:', '0635', 'training cost=', '0.642905896')
('Epoch:', '0635', 'test cost=', '0.640785038')
('Epoch:', '0636', 'training cost=', '0.641770844')
('Epoch:', '0636', 'test cost=', '0.640832543')
('Epoch:', '0637', 'training cost=', '0.640969190')
('Epoch:', '0637', 'test cost=', '0.640811443')
('Epoch:', '0638', 'training cost=', '0.642785489')
('Epoch:', '0638', 'test cost=', '0.640788376')
('Epoch:', '0639', 'training cost=', '0.642559112')
('Epoch:', '0639', 'test cost=', '0.640800655')
('Epoch:', '0640', 'training cost=', '0.642229024')
('Epoch:', '0640', 'test cost=', '0.640795708')
('Epoch:', '0641', 'training cost=', '0.643194327')
('Epoch:', '0641', 'test cost=', '0.640823901')
('Epoch:', '0642', 'training cost=', '0.642294971')
('Epoch:', '0642', 'test cost=', '0.640834153')
('Epoch:', '0643', 'training cost=', '0.643488013')
('Epoch:', '0643', 'test cost=', '0.640813649')
('Epoch:', '0644', 'training cost=', '0.642145539')
('Epoch:', '0644', 'test cost=', '0.640851796')
('Epoch:', '0645', 'training cost=', '0.642013272')
('Epoch:', '0645', 'test cost=', '0.640838623')
('Epoch:', '0646', 'training cost=', '0.640641931')
('Epoch:', '0646', 'test cost=', '0.640773952')
('Epoch:', '0647', 'training cost=', '0.641572857')
('Epoch:', '0647', 'test cost=', '0.640780747')
('Epoch:', '0648', 'training cost=', '0.641532371')
('Epoch:', '0648', 'test cost=', '0.640789568')
('Epoch:', '0649', 'training cost=', '0.644602938')
('Epoch:', '0649', 'test cost=', '0.640869200')
('Epoch:', '0650', 'training cost=', '0.642513110')
('Epoch:', '0650', 'test cost=', '0.640814841')
('Epoch:', '0651', 'training cost=', '0.642731772')
('Epoch:', '0651', 'test cost=', '0.640837729')
('Epoch:', '0652', 'training cost=', '0.640716465')
('Epoch:', '0652', 'test cost=', '0.640831232')
('Epoch:', '0653', 'training cost=', '0.642811396')
('Epoch:', '0653', 'test cost=', '0.640851915')
('Epoch:', '0654', 'training cost=', '0.642378116')
('Epoch:', '0654', 'test cost=', '0.640825212')
('Epoch:', '0655', 'training cost=', '0.640362867')
('Epoch:', '0655', 'test cost=', '0.640814245')
('Epoch:', '0656', 'training cost=', '0.642841870')
('Epoch:', '0656', 'test cost=', '0.640820324')
('Epoch:', '0657', 'training cost=', '0.638769065')
('Epoch:', '0657', 'test cost=', '0.640801251')
('Epoch:', '0658', 'training cost=', '0.641064920')
('Epoch:', '0658', 'test cost=', '0.640813231')
('Epoch:', '0659', 'training cost=', '0.642042519')
('Epoch:', '0659', 'test cost=', '0.640794337')
('Epoch:', '0660', 'training cost=', '0.642290807')
('Epoch:', '0660', 'test cost=', '0.640820563')
('Epoch:', '0661', 'training cost=', '0.640717346')
('Epoch:', '0661', 'test cost=', '0.640795112')
('Epoch:', '0662', 'training cost=', '0.644034827')
('Epoch:', '0662', 'test cost=', '0.640840769')
('Epoch:', '0663', 'training cost=', '0.640907744')
('Epoch:', '0663', 'test cost=', '0.640821993')
('Epoch:', '0664', 'training cost=', '0.642889754')
('Epoch:', '0664', 'test cost=', '0.640824974')
('Epoch:', '0665', 'training cost=', '0.644508042')
('Epoch:', '0665', 'test cost=', '0.640831947')
('Epoch:', '0666', 'training cost=', '0.641639528')
('Epoch:', '0666', 'test cost=', '0.640845239')
('Epoch:', '0667', 'training cost=', '0.643522300')
('Epoch:', '0667', 'test cost=', '0.640820384')
('Epoch:', '0668', 'training cost=', '0.642610671')
('Epoch:', '0668', 'test cost=', '0.640813231')
('Epoch:', '0669', 'training cost=', '0.642136257')
('Epoch:', '0669', 'test cost=', '0.640785038')
('Epoch:', '0670', 'training cost=', '0.642576234')
('Epoch:', '0670', 'test cost=', '0.640813708')
('Epoch:', '0671', 'training cost=', '0.642717860')
('Epoch:', '0671', 'test cost=', '0.640794218')
('Epoch:', '0672', 'training cost=', '0.640630359')
('Epoch:', '0672', 'test cost=', '0.640771985')
('Epoch:', '0673', 'training cost=', '0.641832272')
('Epoch:', '0673', 'test cost=', '0.640800416')
('Epoch:', '0674', 'training cost=', '0.642361498')
('Epoch:', '0674', 'test cost=', '0.640803993')
('Epoch:', '0675', 'training cost=', '0.639911186')
('Epoch:', '0675', 'test cost=', '0.640808880')
('Epoch:', '0676', 'training cost=', '0.642214109')
('Epoch:', '0676', 'test cost=', '0.640804410')
('Epoch:', '0677', 'training cost=', '0.644305871')
('Epoch:', '0677', 'test cost=', '0.640829444')
('Epoch:', '0678', 'training cost=', '0.642995555')
('Epoch:', '0678', 'test cost=', '0.640840828')
('Epoch:', '0679', 'training cost=', '0.641053336')
('Epoch:', '0679', 'test cost=', '0.640796781')
('Epoch:', '0680', 'training cost=', '0.641581908')
('Epoch:', '0680', 'test cost=', '0.640790999')
('Epoch:', '0681', 'training cost=', '0.641141870')
('Epoch:', '0681', 'test cost=', '0.640821993')
('Epoch:', '0682', 'training cost=', '0.642323848')
('Epoch:', '0682', 'test cost=', '0.640809059')
('Epoch:', '0683', 'training cost=', '0.641982353')
('Epoch:', '0683', 'test cost=', '0.640839458')
('Epoch:', '0684', 'training cost=', '0.643248963')
('Epoch:', '0684', 'test cost=', '0.640820384')
('Epoch:', '0685', 'training cost=', '0.642111361')
('Epoch:', '0685', 'test cost=', '0.640831828')
('Epoch:', '0686', 'training cost=', '0.643498003')
('Epoch:', '0686', 'test cost=', '0.640847147')
('Epoch:', '0687', 'training cost=', '0.641525515')
('Epoch:', '0687', 'test cost=', '0.640795231')
('Epoch:', '0688', 'training cost=', '0.642747144')
('Epoch:', '0688', 'test cost=', '0.640851438')
('Epoch:', '0689', 'training cost=', '0.642282299')
('Epoch:', '0689', 'test cost=', '0.640813231')
('Epoch:', '0690', 'training cost=', '0.643965417')
('Epoch:', '0690', 'test cost=', '0.640853703')
('Epoch:', '0691', 'training cost=', '0.641761310')
('Epoch:', '0691', 'test cost=', '0.640823126')
('Epoch:', '0692', 'training cost=', '0.642743982')
('Epoch:', '0692', 'test cost=', '0.640784919')
('Epoch:', '0693', 'training cost=', '0.642797955')
('Epoch:', '0693', 'test cost=', '0.640800893')
('Epoch:', '0694', 'training cost=', '0.642201094')
('Epoch:', '0694', 'test cost=', '0.640822172')
('Epoch:', '0695', 'training cost=', '0.641123604')
('Epoch:', '0695', 'test cost=', '0.640834153')
('Epoch:', '0696', 'training cost=', '0.641622306')
('Epoch:', '0696', 'test cost=', '0.640833080')
('Epoch:', '0697', 'training cost=', '0.643235288')
('Epoch:', '0697', 'test cost=', '0.640798509')
('Epoch:', '0698', 'training cost=', '0.641870217')
('Epoch:', '0698', 'test cost=', '0.640835643')
('Epoch:', '0699', 'training cost=', '0.643864701')
('Epoch:', '0699', 'test cost=', '0.640810609')
('Epoch:', '0700', 'training cost=', '0.642614011')
('Epoch:', '0700', 'test cost=', '0.640856862')
('Epoch:', '0701', 'training cost=', '0.642592710')
('Epoch:', '0701', 'test cost=', '0.640787840')
('Epoch:', '0702', 'training cost=', '0.642187696')
('Epoch:', '0702', 'test cost=', '0.640802801')
('Epoch:', '0703', 'training cost=', '0.642785376')
('Epoch:', '0703', 'test cost=', '0.640807986')
('Epoch:', '0704', 'training cost=', '0.640438514')
('Epoch:', '0704', 'test cost=', '0.640788734')
('Epoch:', '0705', 'training cost=', '0.640528331')
('Epoch:', '0705', 'test cost=', '0.640817702')
('Epoch:', '0706', 'training cost=', '0.641524364')
('Epoch:', '0706', 'test cost=', '0.640836298')
('Epoch:', '0707', 'training cost=', '0.643591035')
('Epoch:', '0707', 'test cost=', '0.640822768')
('Epoch:', '0708', 'training cost=', '0.643311755')
('Epoch:', '0708', 'test cost=', '0.640825868')
('Epoch:', '0709', 'training cost=', '0.642492748')
('Epoch:', '0709', 'test cost=', '0.640806675')
('Epoch:', '0710', 'training cost=', '0.640271595')
('Epoch:', '0710', 'test cost=', '0.640772939')
('Epoch:', '0711', 'training cost=', '0.642622183')
('Epoch:', '0711', 'test cost=', '0.640792310')
('Epoch:', '0712', 'training cost=', '0.641711228')
('Epoch:', '0712', 'test cost=', '0.640801072')
('Epoch:', '0713', 'training cost=', '0.642099565')
('Epoch:', '0713', 'test cost=', '0.640825331')
('Epoch:', '0714', 'training cost=', '0.642573103')
('Epoch:', '0714', 'test cost=', '0.640791714')
('Epoch:', '0715', 'training cost=', '0.642485366')
('Epoch:', '0715', 'test cost=', '0.640832305')
('Epoch:', '0716', 'training cost=', '0.642834553')
('Epoch:', '0716', 'test cost=', '0.640825510')
('Epoch:', '0717', 'training cost=', '0.640697466')
('Epoch:', '0717', 'test cost=', '0.640807211')
('Epoch:', '0718', 'training cost=', '0.642410475')
('Epoch:', '0718', 'test cost=', '0.640790224')
('Epoch:', '0719', 'training cost=', '0.642282955')
('Epoch:', '0719', 'test cost=', '0.640820920')
('Epoch:', '0720', 'training cost=', '0.640944040')
('Epoch:', '0720', 'test cost=', '0.640786886')
('Epoch:', '0721', 'training cost=', '0.643640274')
('Epoch:', '0721', 'test cost=', '0.640831530')
('Epoch:', '0722', 'training cost=', '0.643760206')
('Epoch:', '0722', 'test cost=', '0.640831232')
('Epoch:', '0723', 'training cost=', '0.642038126')
('Epoch:', '0723', 'test cost=', '0.640854120')
('Epoch:', '0724', 'training cost=', '0.642841549')
('Epoch:', '0724', 'test cost=', '0.640806556')
('Epoch:', '0725', 'training cost=', '0.642372170')
('Epoch:', '0725', 'test cost=', '0.640845597')
('Epoch:', '0726', 'training cost=', '0.643083432')
('Epoch:', '0726', 'test cost=', '0.640862703')
('Epoch:', '0727', 'training cost=', '0.643363855')
('Epoch:', '0727', 'test cost=', '0.640824437')
('Epoch:', '0728', 'training cost=', '0.640991779')
('Epoch:', '0728', 'test cost=', '0.640829563')
('Epoch:', '0729', 'training cost=', '0.641592131')
('Epoch:', '0729', 'test cost=', '0.640801191')
('Epoch:', '0730', 'training cost=', '0.641807356')
('Epoch:', '0730', 'test cost=', '0.640809655')
('Epoch:', '0731', 'training cost=', '0.642816753')
('Epoch:', '0731', 'test cost=', '0.640828729')
('Epoch:', '0732', 'training cost=', '0.640728647')
('Epoch:', '0732', 'test cost=', '0.640820682')
('Epoch:', '0733', 'training cost=', '0.644292445')
('Epoch:', '0733', 'test cost=', '0.640823066')
('Epoch:', '0734', 'training cost=', '0.641233735')
('Epoch:', '0734', 'test cost=', '0.640828013')
('Epoch:', '0735', 'training cost=', '0.642647457')
('Epoch:', '0735', 'test cost=', '0.640808463')
('Epoch:', '0736', 'training cost=', '0.643009058')
('Epoch:', '0736', 'test cost=', '0.640855253')
('Epoch:', '0737', 'training cost=', '0.641807731')
('Epoch:', '0737', 'test cost=', '0.640796065')
('Epoch:', '0738', 'training cost=', '0.642546532')
('Epoch:', '0738', 'test cost=', '0.640816867')
('Epoch:', '0739', 'training cost=', '0.640981397')
('Epoch:', '0739', 'test cost=', '0.640834868')
('Epoch:', '0740', 'training cost=', '0.641887874')
('Epoch:', '0740', 'test cost=', '0.640822828')
('Epoch:', '0741', 'training cost=', '0.642926441')
('Epoch:', '0741', 'test cost=', '0.640828431')
('Epoch:', '0742', 'training cost=', '0.639442225')
('Epoch:', '0742', 'test cost=', '0.640766025')
('Epoch:', '0743', 'training cost=', '0.642922588')
('Epoch:', '0743', 'test cost=', '0.640827060')
('Epoch:', '0744', 'training cost=', '0.641750086')
('Epoch:', '0744', 'test cost=', '0.640805781')
('Epoch:', '0745', 'training cost=', '0.641608445')
('Epoch:', '0745', 'test cost=', '0.640796781')
('Epoch:', '0746', 'training cost=', '0.643118286')
('Epoch:', '0746', 'test cost=', '0.640819311')
('Epoch:', '0747', 'training cost=', '0.644069708')
('Epoch:', '0747', 'test cost=', '0.640829802')
('Epoch:', '0748', 'training cost=', '0.642004607')
('Epoch:', '0748', 'test cost=', '0.640837789')
('Epoch:', '0749', 'training cost=', '0.642160430')
('Epoch:', '0749', 'test cost=', '0.640795767')
('Epoch:', '0750', 'training cost=', '0.641369742')
('Epoch:', '0750', 'test cost=', '0.640790462')
('Epoch:', '0751', 'training cost=', '0.641195469')
('Epoch:', '0751', 'test cost=', '0.640800416')
('Epoch:', '0752', 'training cost=', '0.642321998')
('Epoch:', '0752', 'test cost=', '0.640817404')
('Epoch:', '0753', 'training cost=', '0.642371120')
('Epoch:', '0753', 'test cost=', '0.640837014')
('Epoch:', '0754', 'training cost=', '0.641832497')
('Epoch:', '0754', 'test cost=', '0.640840232')
('Epoch:', '0755', 'training cost=', '0.640617064')
('Epoch:', '0755', 'test cost=', '0.640819907')
('Epoch:', '0756', 'training cost=', '0.641516738')
('Epoch:', '0756', 'test cost=', '0.640798390')
('Epoch:', '0757', 'training cost=', '0.642256529')
('Epoch:', '0757', 'test cost=', '0.640817344')
('Epoch:', '0758', 'training cost=', '0.641232458')
('Epoch:', '0758', 'test cost=', '0.640821159')
('Epoch:', '0759', 'training cost=', '0.642188875')
('Epoch:', '0759', 'test cost=', '0.640821755')
('Epoch:', '0760', 'training cost=', '0.642112222')
('Epoch:', '0760', 'test cost=', '0.640817881')
('Epoch:', '0761', 'training cost=', '0.640571583')
('Epoch:', '0761', 'test cost=', '0.640784800')
('Epoch:', '0762', 'training cost=', '0.641585437')
('Epoch:', '0762', 'test cost=', '0.640778244')
('Epoch:', '0763', 'training cost=', '0.643396532')
('Epoch:', '0763', 'test cost=', '0.640818536')
('Epoch:', '0764', 'training cost=', '0.643917456')
('Epoch:', '0764', 'test cost=', '0.640825868')
('Epoch:', '0765', 'training cost=', '0.643733930')
('Epoch:', '0765', 'test cost=', '0.640869260')
('Epoch:', '0766', 'training cost=', '0.641095115')
('Epoch:', '0766', 'test cost=', '0.640811265')
('Epoch:', '0767', 'training cost=', '0.642645701')
('Epoch:', '0767', 'test cost=', '0.640810251')
